id,timestamp_ms,date_local,vehicle,charger,network,location,tag,energy_kwh,time_h,cost,currency,distance_km,distance_mi,eff_kwh_per_100km,eff_km_per_kwh,notes
"060fd772-0997-4555-84ed-ac34d1c0fa84",1684474800455,"2023-05-19 06:40:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",33.000000,1.500000,14.850000,"GBP",249.645993,155.122828,13.218718,7.56503,"Shopping stop"
"c4d5a400-782a-4309-9f26-c97bf3468354",1684437600480,"2023-05-18 20:20:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",33.000000,1.500000,14.850000,"GBP",162.173017,100.769641,20.348638,4.914334,"Shopping stop"
"a7a80bf0-e116-48bd-b42e-fc5442ad3ecd",1684300200480,"2023-05-17 06:10:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",41.250000,1.875000,18.562500,"GBP",305.150425,189.611683,13.517923,7.397586,"Shopping stop"
"1bd42d73-260b-4653-bc48-5fd6638e5316",1686329400480,"2023-06-09 17:50:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",31.500000,1.431818,14.175000,"GBP",202.986055,126.129687,15.518307,6.444002,"Shopping stop"
"5642b804-8ab3-41bd-8eb9-77385853a939",1687935600480,"2023-06-28 08:00:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",19.500000,0.886364,8.775000,"GBP",136.264003,84.670526,14.310456,6.987898,"Shopping stop"
"5492c5bf-87c9-4cec-860d-4b38c4078287",1686124200480,"2023-06-07 08:50:00","Tesla Model 3","Home Charger","","Home","Home",25.500000,3.445946,7.140000,"GBP",198.452945,123.312943,12.849394,7.782468,"Overnight home session"
"c21b1063-ad2d-42c6-83e1-0e912f3f86e9",1690471200480,"2023-07-27 16:20:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",18.750000,0.852273,8.437500,"GBP",130.283018,80.954114,14.391745,6.948428,"Shopping stop"
"12fcf164-5949-49b7-9bd0-2d0d7d648514",1690012200480,"2023-07-22 08:50:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",17.250000,0.784091,7.762500,"GBP",140.068740,87.034680,12.315382,8.119927,"Shopping stop"
"ec0f1245-ba41-4ac8-924e-e16faff3099d",1691229600480,"2023-08-05 11:00:00","Tesla Model 3","Home Charger","","Home","Home",16.500000,2.229730,4.620000,"GBP",119.373463,74.175231,13.822167,7.234755,"Overnight home session"
"124e34d9-e875-4a93-8af2-fcb42b6cf3c3",1692025800480,"2023-08-14 16:10:00","Tesla Model 3","Home Charger","","Home","Home",30.750000,4.155405,8.610000,"GBP",187.049175,116.226969,16.439527,6.0829,"Overnight home session"
"fa4b1937-6f4e-4447-890f-df00ad4a49fe",1692096000480,"2023-08-15 11:40:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",21.750000,0.988636,9.787500,"GBP",112.326904,69.796702,19.363126,5.164455,"Shopping stop"
"2177d4b6-10f3-4745-9ae0-fea5ae2f266d",1695566400480,"2023-09-24 15:40:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",27.000000,1.227273,12.150000,"GBP",180.241729,111.997018,14.979883,6.67562,"Shopping stop"
"18bfe753-3dd0-4b92-89ee-9128634a2ee4",1694965800480,"2023-09-17 16:50:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",30.750000,1.397727,13.837500,"GBP",161.069051,100.083668,19.091191,5.238018,"Shopping stop"
"f81c1ec5-c9e7-4504-88d5-7b3fef1272f5",1698687600480,"2023-10-30 17:40:00","Tesla Model 3","Workplace Bay","","Office","Work",21.750000,1.977273,4.785000,"GBP",145.138813,90.185077,14.985654,6.673049,"Weekday office charging"
"02f187be-feb6-4ad2-aad2-a560249f3dd3",1696879800480,"2023-10-09 20:30:00","Tesla Model 3","Workplace Bay","","Office","Work",33.750000,3.068182,7.425000,"GBP",269.507743,167.464348,12.522831,7.985415,"Weekday office charging"
"0bc601eb-7272-4839-b1c9-d557063fb712",1697284800481,"2023-10-14 13:00:00","Tesla Model 3","Workplace Bay","","Office","Work",39.750000,3.613636,8.745000,"GBP",242.187468,150.488316,16.412905,6.092766,"Weekday office charging"
"5fe98e3a-a34d-4fff-acaa-5a53bc2caf5a",1700761200481,"2023-11-23 17:40:00","Tesla Model 3","Workplace Bay","","Office","Work",18.750000,1.704545,4.125000,"GBP",89.869296,55.842192,20.863633,4.793029,"Weekday office charging"
"6a78c03d-f194-415b-822d-cce6f30775df",1700224200481,"2023-11-17 12:30:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",39.750000,1.806818,17.887500,"GBP",313.229869,194.632017,12.690361,7.879997,"Shopping stop"
"42bc1de3-bd76-4b99-94dc-d94e5890bb49",1699980600481,"2023-11-14 16:50:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",21.000000,0.175000,14.490000,"GBP",151.049238,93.857645,13.902751,7.192821,"Road trip top-up"
"5b8e1efe-0a77-4d87-860e-2738dee52b75",1701766800481,"2023-12-05 09:00:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",21.750000,0.181250,15.007500,"GBP",119.816065,74.450251,18.152824,5.508785,"Road trip top-up"
"482e52d2-9d26-4e9c-b004-4459b01d02d9",1701891000481,"2023-12-06 19:30:00","Tesla Model 3","Home Charger","","Home","Home",29.250000,3.952703,8.190000,"GBP",143.658188,89.265060,20.36083,4.911391,"Overnight home session"
"b9b9f533-9db6-4d25-bc8f-af903c3354cd",1702466400481,"2023-12-13 11:20:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",21.000000,0.175000,14.490000,"GBP",105.951293,65.835081,19.820428,5.0453,"Road trip top-up"
"31235a92-84d1-4833-bca9-0b114e171494",1703331000481,"2023-12-23 11:30:00","Tesla Model 3","Home Charger","","Home","Home",29.250000,3.952703,8.190000,"GBP",172.239588,107.024718,16.982159,5.888533,"Overnight home session"
"8d6fcdd2-6f5f-4a3a-a147-9d8605bedd0b",1705057200481,"2024-01-12 11:00:00","Tesla Model 3","Workplace Bay","","Office","Work",15.000000,1.363636,3.300000,"GBP",101.158876,62.857211,14.82816,6.743925,"Weekday office charging"
"6db38e3b-accc-4c4f-a07b-a8a861294810",1706448000481,"2024-01-28 13:20:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",23.250000,0.193750,16.042500,"GBP",169.325346,105.213892,13.730963,7.282811,"Road trip top-up"
"2712e235-3c8d-4360-af95-48d40a8013c3",1706123400481,"2024-01-24 19:10:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",24.750000,0.206250,17.077500,"GBP",161.374361,100.273379,15.337009,6.520176,"Road trip top-up"
"d9c983ff-efff-48e5-83c4-51c1ca3e891c",1707462600481,"2024-02-09 07:10:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",25.500000,1.159091,11.475000,"GBP",157.455816,97.838508,16.195019,6.174738,"Shopping stop"
"d74692c9-c5e8-4407-b5a2-fcf86a311241",1708099800481,"2024-02-16 16:10:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",30.750000,0.256250,21.217500,"GBP",169.093123,105.069595,18.185246,5.498963,"Road trip top-up"
"477be42d-40ce-476d-8676-dcac018cb1d1",1711434000481,"2024-03-26 06:20:00","Tesla Model 3","Home Charger","","Home","Home",27.750000,3.750000,7.770000,"GBP",192.145305,119.393557,14.442195,6.924155,"Overnight home session"
"be2a80d8-21fe-4072-b002-54307596feb2",1710661800482,"2024-03-17 07:50:00","Tesla Model 3","Workplace Bay","","Office","Work",32.250000,2.931818,7.095000,"GBP",257.878513,160.238279,12.505889,7.996233,"Weekday office charging"
"84d66414-f3dd-4a21-a032-375dedae6738",1711123200482,"2024-03-22 16:00:00","Tesla Model 3","Home Charger","","Home","Home",23.250000,3.141892,6.510000,"GBP",187.233866,116.341731,12.417625,8.05307,"Overnight home session"
"f0706eba-4920-4cc7-be48-e20450b8bceb",1710501000482,"2024-03-15 11:10:00","Tesla Model 3","Supermarket Point","Pod Point","Retail Park","Public",27.750000,1.261364,12.487500,"GBP",192.544046,119.641323,14.412287,6.938524,"Shopping stop"
"e6930fb3-b33f-4a8d-a5c8-92fc6507b71c",1713017400482,"2024-04-13 15:10:00","Tesla Model 3","City Rapid Hub","IONITY","City Center","Rapid",40.500000,0.337500,27.945000,"GBP",312.625462,194.256456,12.954799,7.719147,"Road trip top-up"
"c4308f3c-a77e-4c51-9e44-e8988e721b0d",1714305600482,"2024-04-28 13:00:00","Tesla Model 3","Workplace Bay","","Office","Work",32.250000,2.931818,7.095000,"GBP",169.302269,105.199553,19.04877,5.249683,"Weekday office charging"
"199f5e39-a48e-4d46-bca1-fbc4acb8751c",1714039800482,"2024-04-25 11:10:00","Tesla Model 3","Home Charger","","Home","Home",31.500000,4.256757,8.820000,"GBP",211.072818,131.154569,14.92376,6.700724,"Overnight home session"
"e044ed27-99a4-4bb9-be58-cf9d65d78229",1716102000482,"2024-05-19 08:00:00","Tesla Model 3","Workplace Bay","","Office","Work",24.750000,2.250000,5.445000,"GBP",136.696155,84.939053,18.105849,5.523077,"Weekday office charging"
